Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
17/09/22 4:02,17/09/22 4:19,REM,17/09/22 4:03,58,Apple Watch SE 2020
17/09/22 4:19,17/09/22 5:12,Light/Core,17/09/22 4:21,59,Apple Watch SE 2020
17/09/22 5:12,17/09/22 5:42,REM,17/09/22 5:10,58,Apple Watch SE 2020
17/09/22 5:42,17/09/22 5:46,Awake,17/09/22 5:40,59,Apple Watch SE 2020
17/09/22 5:46,17/09/22 5:48,Light/Core,17/09/22 5:47,58,Apple Watch SE 2020
17/09/22 5:48,17/09/22 5:50,REM,17/09/22 5:49,60,Apple Watch SE 2020
17/09/22 5:50,17/09/22 5:53,Light/Core,17/09/22 5:49,60,Apple Watch SE 2020
17/09/22 5:53,17/09/22 5:53,Awake,17/09/22 5:55,57,Apple Watch SE 2020
17/09/22 5:53,17/09/22 5:56,Light/Core,17/09/22 5:55,57,Apple Watch SE 2020
17/09/22 5:56,17/09/22 5:57,Awake,17/09/22 5:55,57,Apple Watch SE 2020
17/09/22 5:57,17/09/22 6:34,Light/Core,17/09/22 5:55,57,Apple Watch SE 2020
17/09/22 6:34,17/09/22 6:36,Awake,17/09/22 6:35,57,Apple Watch SE 2020
17/09/22 6:36,17/09/22 6:41,Light/Core,17/09/22 6:35,57,Apple Watch SE 2020
17/09/22 6:41,17/09/22 6:42,Awake,17/09/22 6:40,59,Apple Watch SE 2020
17/09/22 6:42,17/09/22 6:50,Light/Core,17/09/22 6:44,60,Apple Watch SE 2020
17/09/22 23:56,18/09/22 0:15,Light/Core,17/09/22 23:55,66,Apple Watch SE 2020
18/09/22 0:15,18/09/22 0:19,Deep,18/09/22 0:15,62,Apple Watch SE 2020
18/09/22 0:19,18/09/22 0:34,Light/Core,18/09/22 0:20,57,Apple Watch SE 2020
18/09/22 0:34,18/09/22 0:51,Deep,18/09/22 0:35,69,Apple Watch SE 2020
18/09/22 0:51,18/09/22 0:51,Light/Core,18/09/22 0:50,61,Apple Watch SE 2020
18/09/22 0:51,18/09/22 0:52,Awake,18/09/22 0:50,61,Apple Watch SE 2020
18/09/22 0:52,18/09/22 1:53,Light/Core,18/09/22 0:50,61,Apple Watch SE 2020
18/09/22 1:53,18/09/22 2:09,REM,18/09/22 1:51,73,Apple Watch SE 2020
18/09/22 2:09,18/09/22 2:10,Awake,18/09/22 2:12,59,Apple Watch SE 2020
18/09/22 2:10,18/09/22 2:22,REM,18/09/22 2:12,59,Apple Watch SE 2020
18/09/22 2:22,18/09/22 2:22,Awake,18/09/22 2:19,64,Apple Watch SE 2020
18/09/22 2:22,18/09/22 2:24,Light/Core,18/09/22 2:19,64,Apple Watch SE 2020
